doi,title,source_url,catalog_url
https://doi.org/10.5281/zenodo.22922080,OBIS Products Catalog,https://zenodo.org/record/22922080,https://products.obis.org/dataset/10-5281-zenodo-22922080
https://doi.org/10.5281/zenodo.20218566,The OBIS Manual,https://zenodo.org/record/20218566,https://products.obis.org/dataset/10-5281-zenodo-20218566
https://doi.org/10.5281/zenodo.3338213,iobis/obistools: version 0.0.9,https://zenodo.org/record/3338213,https://products.obis.org/dataset/10-5281-zenodo-3338213
https://doi.org/10.5281/zenodo.6969395,iobis/robis: robis 2.11.0,https://zenodo.org/record/6969395,https://products.obis.org/dataset/10-5281-zenodo-6969395
https://doi.org/10.5281/zenodo.21375230,obistherm - OBIS occurrence data matched with monthly sea temperature,https://zenodo.org/record/21375230,https://products.obis.org/dataset/10-5281-zenodo-21375230
https://doi.org/10.5281/zenodo.22922439,pyobis: Python client for the Ocean Biodiversity Information System (OBIS) API,https://zenodo.org/record/22922439,https://products.obis.org/dataset/10-5281-zenodo-22922439
https://doi.org/10.5281/zenodo.19392660,speciesgrids: build pipeline and documentation for a gridded dataset of marine species occurrence,https://zenodo.org/record/19392660,https://products.obis.org/dataset/10-5281-zenodo-19392660

